일련번호,인증번호,인증일자,회사명,제품,등급,시험번호,S/W분류,제품 설명,총WD,재계약,특이사항,"시작날짜/
종료날짜",시험원
6583,22-0015,2022.01.10,"큐비트시큐리티㈜
Qubit Security Inc.","프루라 V5
(PLURA V5)",1등급,GS-A-21-109,시스템관리 SW-기타,장비로부터 수집된 로그를 수집 및 분석하는 웹 기반 로그 분석 솔루션,25,,,2021.12.01 ~ 2022.01.04,"박아영, 원종현"
6584,22-0016,2022.01.10,"소프트캠프 주식회사
SOFTCAMP CO.,LTD.","실덱스 리모트 브라우저 V1.0
(SHIELDEX Remote Browser V1.0)",1등급,GS-A-21-486,보안용 SW-기타,웹 브라우저로 웹 사이트 접속 시 리모트 브라우저를 통해 해당 사이트를 브라우징하도록 하여 악성코드 등의 위험 요인으로부터 사용자 디바이스를 보호해주는 웹 격리 솔루션,14,,,2021.12.06 ~ 2021.12.23,"정은하, 김도현"
6585,22-0017,2022.01.10,"(주)고려소프트웨어
Koryosoftware Co., Ltd.","SOC BIM 플랫폼 - KaceBIM v1.0
(SOC BIM Platform - KaceBIM v1.0)",1등급,GS-A-21-494,GIS SW-도로시설물관리,"사회기반시설(도로, 다리, 댐 등) 시업정보를 관리",18,,,2021.12.27~ 2021.12.27,"오가영, 오상훈"
6586,22-0018,2022.01.10,"㈜차후
CHAHOO","스마트 지하시설물 통합관리 시스템 v1.0
(Smart Underground Facility Management System v1.0)",1등급,GS-A-21-315,기업용 SW-기타,지하시설물 정보를 2D/3D 관망도로 조회하기 위한 프로그램,15,,,2021.12.13 ~ 2021.12.31,"임우섭, 강태욱"
6587,22-0019,2022.01.10,"㈜올포랜드
AllforLand Co.Ltd.","맵프라임 v2.0
(MapPrime v2.0)",1등급,GS-A-21-426,GIS SW-기타,응용 GIS 서비스 개발을 위한 OGC(Open Geospatial Consortium) 표준 API를 제공하고 공간정보 레이어를 편집하는 프로그램,25,,,2021.11.25 ~ 2021.12.29,"고하영, 양재원"
6588,22-0020,2022.01.17,"㈜ 사이버이메지네이션
CyberImagination INC.","디브릿지 v2.5
(D-Bridge v2.5)",1등급,GS-C-21-118,기업용 SW-기타,"본 제품은 REST, SOAP 방식의 OpenAPI 정보를 관리하는 웹 기반 프로그램",15,"재계약된 경우 기재
(메모 참조)",간소화 재인증 제품,2021.12.16 ~ 2022.01.05,"이진협, 김동규"
6589,22-0021,2022.01.17,"주식회사 시큐어키SecureKi
(구 : 주식회사 시큐어키
SecureKi)","아이라스 v3.0
(IRASS v3.0)",1등급,GS-B-21-241,시스템관리 SW-기타,"시스템(Windows, Linux) 원격접속 및 명령어 실행 통제, 감사로그 관리 등을 제공하는 시스템 접근통제 솔루션",20,,,2021년 12월 10일 ~ 2022년 1월 6일,"정광락,박민주"
6590,22-0022,2022.01.17,"주식회사 이즈소프트
EASE Soft Co., Ltd. ","검색엔진 파인딥 v1.0
(FINDEEP v1.0)",1등급,GS-B-21-350,미들웨어 SW-검색엔진,"AWS의 Opensearch를 이용해 DBMS에 저장된 데이터를 수집, 색인 및 검색 지원 API 기능을 제공하는 검색엔진 솔루션",22,,,2021년 12월 9일 ~ 2022년 1월 7일,"정광락,백현재"
6591,22-0023,2022.01.17,"㈜엘지씨엔에스
LG CNS Co., Ltd.","데브온 엔씨디 v1.0
(DevOn NCD v1.0)",1등급,GS-B-21-296,데이터베이스 SW-기타,데이터베이스를 사용하기 위한 비즈니스 로직을 Flow Chart로 정의할 수 있도록 서비스를 제공하는 프로그램,23,,,2021.11.29 ~ 2021.12.29,"박지훈, 정영재"
6592,22-0024,2022.01.17,"주식회사 나래소프트
Naraesoft Co., Ltd.","넷클래스 9.0
(Net-Class 9.0)",1등급,GS-B-21-306,교육용 SW-기타,"교육장, 실습실 등에 설치된 PC의 실행 프로그램, 입출력 장치 등을 제어하고, 수업 진행에 필요한 출석 관리, 화면 공유, 판서 등을 제공하는 학습 지원 프로그램",19,,,"2021-12-07~
2021-12-31","최유정, 이승주"
6593,22-0025,2022.01.17,"㈜싸이버로지텍
CyberLogitec Co., Ltd.","터미널 운영 선박작업 계획 시스템 v1.0
(TOVPS (Terminal Operation Vessel Planning System) v1.0)",1등급,GS-B-21-315,유틸리티 SW-기타,"본 제품은 항만에 설치된 크레인의 작업 계획(작업 시간, 크레인 수 등)을 분석하고 결과를 엑셀파일로 출력하는 프로그램으로 주요기능은 다음과 같다.",14,,,2021.12.24 ~ 2022.1.12,"박진석, 김기연"
6594,22-0026,2022.01.17,"유니닥스주식회사
UNIDOCS Inc.","이지피디에프 디브이에스 v2.0
(ezPDF DVS v2.0)",1등급,GS-B-21-334,기업용 SW-기타,"문서(Microsoft Office, 한컴오피스, 이미지, PDF)의 손상 여부, 암호 설정 여부를 검사하는 라이브러리",10,,,2021.12.28 ~ 2022.01.10,"변은영, 오정수"
6595,22-0027,2022.01.17,"주식회사 조인트리
JOINTREE Co., Ltd","조인에어 V.1.0 
(JoinAir V.1.0)",1등급,GS-B-21-396,기업용 SW-기타,"원격지에 있는 센서로부터 온도, 습도, 미세먼지 등의 측정 데이터를 수집하고 모니터링하는 프로그램",18,"GS-B-21-238, 16WD
GS-B-21-396(1차), 2WD",시험 1회 중단하고 재계약한 후 재개함,"2021.11.22 ~ 2021.12.08
2022.01.03 ~ 2022.01.07","변은영, 김정우"
6596,22-0028,2022.01.17,"주식회사 알티넷솔루션RTNETSOLUTION Corp.
(구 : ㈜알티넷
RTNET Corp.)","팔콘오토메이션플랫폼 v2.9.5
(FALCON Automation Platform v2.9.5)",1등급,GS-A-21-446,시스템관리 SW-시스템 관리(SMS),"오픈소스(Ansible)를 활용하여 리눅스, 네트워크 장비에 대한 작업 자동화 기능을 제공하는 프로그램",29,,,2021.11.29 ~ 2022.1.6,"박상신, 최준영"
6597,22-0029,2022.01.17,"(주)리드포인트시스템
Leadpoint System","뉴럴블록 v1.0
(NeuralBlock v1.0)",1등급,GS-A-21-442,기업용 SW-기타,프라이빗 블록체인 기반 응용 서비스 개발 플랫폼,25,,,2021.12.02 ~ 2022.01.05,"장세헌, 임영찬"
6598,22-0030,2022.01.17,"㈜웹플래너
Webplanner.,inc","플래너아이피 v1.0
(PLANNER IP v1.0)",1등급,GS-A-21-369,기업용 SW-기타,"사용자의 디자인과 특허청에 등록된 디자인 지식재산권을 비교하여 분석하고, 출원서 작성을 미리 작성해보는 프로그램",16,"재계약된 경우 기재
(메모 참조)","WD 이슈사항 기재
(메모 참조)",2021.11.29 ~ 2021.12.20,"임성은, 하성호"
6599,22-0031,2022.01.17,"㈜지란지교시큐리티
Jiransecurity Co., Ltd.","새니톡스 이피 v1.2.0
(SaniTOX EP v1.2.0)",1등급,GS-A-21-422,보안용 SW-기타,PC 내 액티브 콘텐츠가 포함된 문서파일에 대해 무해화를 수행하는 보안 솔루션,25,,,2021.12.06 ~ 2022.01.07,"김유진, 김민지"
6600,22-0032,2022.01.17,"주식회사 에어위드
AirWith Co., Ltd
주식회사 위트콘
Witcon Co., Ltd","대기환경정보 표출 소프트웨어 1.0.1
(Air environment information display software 1.0.1)",1등급,GS-A-21-473,디지털콘텐츠 SW-기타,본 제품은 대기환경 정보를 표출하는 프로그램으로 주요 기능은 다음과 같다,9,,,2021.12.21 ~ 2021.12.31,"노남규, 이인영"
6601,22-0033,2022.01.20,"㈜엘시스
ELSYS Co.,Ltd.","철강공장 에너지 TOC 시스템 v1.0
(Steel Factory Energy TOC System v1.0)",1등급,GS-C-21-139,기업용 SW-기타,공장에서 사용되고 있는 전력 소비량을 모니터링하는 웹 기반 프로그램,16,,,"2021-12-21~
2022-01-11","이재훈, 서동민"
6602,22-0034,2022.01.20,"주식회사 지니
Genie Co., Ltd","이써트 v1.0
(ECIRT v1.0)",1등급,GS-A-21-496,임베디드 SW-기타,"전기차 충전기와 연동하여 충전량, 충전 요금 등을 조회하는 프로그램",20,,,2021.12.15 ~ 2022.01.11,"김민우, 김혜란"
6603,22-0035,2022.01.20,"㈜에이치엔엠
H&M Co., Ltd. ","회의운영솔루션 V2.0
Conference Management (Solution V2.0)",1등급,GS-B-21-321,유틸리티 SW-원격제어,회의장에 설치된 마이크의 활성화에 따라 화자의 모습을 촬영하는 회의 운영 프로그램,10,,,2021.12.27. ~ 2022.01.07.,"홍승국, 전재훈"
6604,22-0036,2022.01.20,"㈜인크루넷
INCLUNET CO., LTD","테라트랜스퍼 V1
(TeraTransfer V1)",1등급,GS-A-21-564,기업용 SW-기타,"웹 환경에서 파일 업로드, 다운로드 기능을 제공하는 JSON 기반의 JavaScript용 API 라이브러리",18,,,2021.12.15 ~ 2022.01.07,"최민경,김혜리"
6605,22-0037,2022.01.20,"주식회사 오픈소스컨설팅
Open Source Consulting Inc.","플레이스 로로 v2.0.0
(Playce RoRo v2.0.0)",1등급,GS-A-21-188,유틸리티 SW-기타,-,27,,,2021.12.03 ~ 2022.01.10,"정은하, 박소연"
6606,22-0038,2022.01.20,"㈜모니터랩
MONITORAPP Co., Ltd","어플리케이션 인사이트 에스더블유쥐 V4.0
(APPLICATION INSIGHT SWG V4.0)",1등급,GS-A-21-400,보안용 SW-웹보안,유해사이트 및 비업무 사이트 접속을 차단하는 프로그램,29,,,2021.12.03 ~ 2022.01.12,"임우섭, 최고은"
6607,22-0039,2022.01.20,"(사)장애인동반성장협회 우리사업장
Association Together with the Disabled","우리브이엠에스 v1.0
(WRVMS v1.0)",1등급,GS-A-21-411,디지털콘텐츠 SW-기타,"본 제품은 IP 카메라에서 촬영된 영상을 모니터링, 녹화 및 검색하는 NVR(Network Video Recorder) 솔루션으로 주요 기능은 다음과 같다",17,,,2021.12.17 ~ 2022.01.10,"노남규, 박선영"
6608,22-0040,2022.01.20,"㈜ 시스매니아
Sysmania Co., Ltd.","교도소 거실특화 지능형 영상분석 소프트웨어 ver2.0
(SAI-21PR ver2.0)",1등급,GS-A-21-424,기업용 SW-기타,본 제품은 IP 카메라 및 동영상 파일로부터 수집한 영상을 분석하여 이상상황을 탐지하는 프로그램이다.,18,,,2021.12.15 ~ 2022.01.07,"고하영, 이유성"
6609,22-0041,2022.01.20,"데이터텍
DATATEK","이디이 v3.0
EDE(Eternus Data Eraser) for (Personal edition v3.0)",1등급,GS-A-21-431,유틸리티 SW-데이터영구삭제,"데이터 저장소(HDD, SSD, 외장 스토리지)에 대한 영구 삭제 기능을 제공하는 데이터 영구 삭제 솔루션",14,,,2021.12.23. ~ 2022.1.11.,"이강민, 강병학"
6610,22-0042,2022.01.24,"㈜엔코아
EN-CORE Co., Ltd.","DATAWARE™ META# v5.0
(DATAWARE™ META# v5.0)",1등급,GS-B-21-277,데이터베이스 SW-기타,데이터베이스의 물리적 구조가 데이터 모델과 데이터 표준을 준수하는지 여부를 분석/확인하는 데이터 표준관리시스템,18,,,"2021-11-29~
2021-12-22","박현권, 권세호"
6611,22-0043,2022.01.24,"㈜엔코아
EN-CORE Co., Ltd.","DATAWARE™ DQ# v5.0
(DATAWARE™ DQ# v5.0)",1등급,GS-B-21-278,데이터베이스 SW-기타,데이터베이스의 데이터가 진단 규칙을 준수하는지 여부를 관리하는 데이터 품질관리시스템,18,,,"2021-12-23~
2022-01-17","박현권, 권세호"
6612,22-0044,2022.01.24,"㈜엔코아
EN-CORE co., ltd.","DATAWARE™ AP# v5.0
(DATAWARE™ AP# v5.0)",1등급,GS-B-21-391,데이터베이스 SW-기타,애플리케이션과 데이터베이스와 영향분석 결과를 조회하는 프로그램,15,,,"2021-12-20~
2022-01-07","박현권, 서경덕"
6613,22-0045,2022.01.24,"㈜피앤피시큐어
PNP SECURE INC.","디비세이퍼 오에스 V7.0
(DBSAFER OS V7.0)",1등급,GS-A-21-106,보안용 SW-기타,"서버내의 파일, 프로세스, 네트워크 등의 접근을 통제하는 서버 접근 통제 솔루션",52,,,2021.11.03 ~ 2022.01.13,"이재효,이유겸"
6614,22-0046,2022.01.24,"㈜엔키아
Nkia. Co., Ltd.","폴스타 Automation v3
(POLESTAR Automation v3)",1등급,GS-A-21-341,시스템관리 SW-통합 관리(EMS),"기업 내 시스템 운영자가 IT 자산(서버, 스위치)에 대해 운영체제 점검, 패치 파일 수집 및 배포 등의 전산 업무를 스케줄에 맞춰 자동으로 수행할 수 있도록 지원하는 운영 자동화 솔루션",54,,,2021.10.28~ 2022.1.11,"신우준, 정성훈, 김영"
6615,22-0047,2022.01.24,"램파드㈜
LAMPAD
(구: ㈜소울시스템즈
SoulSystems)","램파드 V1.5
(LAMPAD V1.5)",1등급,GS-A-21-189,시스템관리 SW-네트워크 관리(NMS),스위치 등 네트워크 장비의 미러링을 통해 네트워크 트래픽을 수집 및 분석하는 프로그램,32,,,2021.11.25 ~ 2022.01.07,"장세헌, 박솔화 "
6616,22-0048,2022.01.24,"㈜스퀘어베이스
Squarebase.Ltd","에프엔씨 전자정부프레임워크 v3.9
(FNC eGovFramework v3.9)",1등급,GS-A-21-647,디지털콘텐츠 SW-디지털콘텐츠관리(CMS),"웹 사이트를 생성하고 사이트 내 메뉴, 웹 페이지, 게시판 등을 관리하는 프로그램(CMS, Contents Management System)",18,"GS-A-21-238, 16WD
GS-A-21-647(1차), 2WD",,"(최초)
2021.11.01 ~ 2021.11.17
(1차)
2022.01.06 ~ 2022.01.12","장세헌, 임영찬, 박솔화

장세헌, 임영찬"
6617,22-0049,2022.01.24,"㈜제이케이코리아
JK Korea Inc.","전기차 충전관리 통합솔루션 v1.0
(INOS-EV v1.0)",1등급,GS-A-21-497,시스템관리 SW-기타,IP 카메라의 차량 번호판 번호 인식을 통해 차량의 전기 충전 위반 관리 기능을 수행하기 위한 전기차 충전관리 프로그램,18,,,2021.12.22 ~ 2022.01.14,장유원
6618,22-0050,2022.01.27,"가나테크윈
GANATECHWIN","통합배선반 관리솔루션 v2.0
(Total Control Structured Cabling Solution v2.0)",1등급,GS-C-21-132,임베디드 SW-기타,네트워크 장비(스위치 등)의 포트별 통신 상태 및 장애 알람을 모니터링하는 프로그램,16,,,2021.12.29 ~ 2022.01.19,"김민우, 박정원"
6619,22-0051,2022.01.27,"㈜랩241
LAB241 Co., Ltd.","래비-렉 v3.0
(LABY-REC v3.0)",1등급,GS-B-21-258,교육용 SW-기타,강사의 판서 내용이 포함된 PC 화면과 강사의 강의 영상을 통합하여 강의 동영상을 생성하는 프로그램,19,,,"2021-12-27~
2022-01-20","우수진,박인혁"
6620,22-0052,2022.01.27,"㈜빅스소프트
BIXsoft Co., Ltd. ","BIX5 v21
(BIX5 v21)",1등급,GS-B-21-310,GIS SW-기타,"DBMS(Oracle, Tibero)와 연결하여 데이터셋을 위젯(차트, 그리드 등) 형태로 시각화하는 프로그램",20,,,2021.12.22 ~ 2022.01.18,"윤성복, 노희원"
6621,22-0053,2022.01.27,"㈜소울인포테크
SOUL Info-Tech Co.,Ltd","IoT 교통안전시설 운영관리프로그램 v1.0
(IoT Traffic Safety Facility Management Program v1.0)",1등급,GS-A-21-491,웹서비스용 SW-기타,IoT 통합관리장치 및 IoT 장치의 정보 및 통신 상태를 관리하고 IoT 장치 정보관리를 위한 앱 REST API를 제공하는 프로그램,16,,,2021.12.28 ~ 2022.1.18,오가영. 오상훈
6622,22-0054,2022.01.27,"㈜오렌지아이티
ORANGEIT Co., Ltd.","브릿지오피스 v2.0
(BridgeOffice v2.0)",1등급,GS-A-21-356,기업용 SW-기타,한컴오피스 한글 프로그램 문서를 웹 브라우저를 통해 열람 및 편집할 수 있도록 지원하는 API 라이브러리,21,,,2021.12.23 ~ 2022.01.20,"김유진, 박희경"
6623,22-0055,2022.01.27,"㈜지오멕스소프트
GEOMEXSOFT Co., Ltd.","무인항공기 3차원 사전 비행 경로 분석 시스템 v1.0
(D-DAS Simulator v1.0)",1등급,GS-A-21-362,기업용 SW-기타,무인항공기를 이용한 영상 촬영 시 폐색 영역을 사전에 확인하고 최적의 경로를 산출하기 위한 무인항공 촬영 시뮬레이션 프로그램,13,,,2021.12.22 ~ 2022.1.7,"임성은, 하성호"
6624,22-0056,2022.01.27,"포그리트
4Grit Inc.","뷰저블 애널리틱스 v2
(Beusable Analytics v2)",1등급,GS-A-21-373,기업용 SW-기타,본 문서는 소프트웨어시험인증연구소에서 수행한 포그리트의 “뷰저블 애널리틱스 v2”에 대한 시험결과서이다. 본 결과서에서는 시험항목 및 절차에 대한 일반적인 사항을 설명하고 주어진 시험환경에서 확인된 시험결과를 기술하였다.,10,,,2021.12.20 ~ 2022.01.14,"임우섭, 이강원"
6625,22-0057,2022.01.27,"㈜메이팜소프트
Mayfarmsoft co.,Ltd.","아이오비전 Ver 1.5
(IO-VISION Ver 1.5)",1등급,GS-A-21-463,디지털콘텐츠 SW-기타,"이미지를 분석하여 객체 검출, 얼굴 감지 및 감정 추출 결과를 제공하는 프로그램",24,,,2021.12.17 ~ 2022.01.19,"구자경,정명준"
6626,22-0058,2022.01.27,"주식회사 디비엔텍
DBNtech Co., Ltd.","비전온 v1
(VisionON v1)",1등급,GS-A-21-505,기업용 SW-기타,영상 분석 서버로부터 돌발상황 감지 결과를 수집 및 통합 모니터링하는 프로그램,18,,,2021.12.30 ~ 2022.01.19,"고하영, 양재원"
6627,22-2001,2022.01.27,"㈜에쓰피케이
SPK Corp.","지에이 2021
(GA 2021)",2등급,ST-A-21-005,사무용 SW-기타,데스크톱 PC용 윈도우 운영체제와 오피스 프로그램으로 구성된 제품,30,,,2021.12.09 ~ 2022.01.19,"이재효,김정우,박상우"
6628,22-2002,2022.01.27,"㈜에쓰피케이
SPK Corp.","오피스 엘티에스씨 스탠다드 2021
(Office LTSC Standard 2021)",2등급,ST-A-21-006,사무용 SW-오피스,"워드, 엑셀, 파워포인트, 아웃룩, 원노트 등으로 구성된 통합 오피스 프로그램",5,,ST-A-21-007(Office LTSC Professional Plus 2021)과 연계하여 본 제품의 시험을 수행함 ,2022.01.14 ~ 2022.01.20,"이재효,박상우,김수경"
6629,22-2003,2022.01.27,"㈜에쓰피케이
SPK Corp.","오피스 엘티에스씨 프로페셔널 플러스 2021
(Office LTSC Professional Plus 2021)",2등급,ST-A-21-007,사무용 SW-오피스,"워드, 엑셀, 파워포인트, 아웃룩, 엑세스, 원노트 등으로 구성된 통합 오피스 프로그램",32,,,2021.12.01 ~ 2022.01.13,"이재효,박상우,김수경"
6630,22-0059,2022.02.03,"㈜ 토탈소프트뱅크
Total Soft Bank. Co., Ltd.","용접 AR 가이드 v1.0
(s-Welding arGuide v1.0)",1등급,GS-C-21-030,교육용 SW-기타,"본 제품은 용접 시 측정 및 계산되는 실시간 데이터(작업각, 진행각, 용접속도, 토치 높이, 전압, 전류, 저항, 용접 입열량)를 이용하여 용접사에게 가이드(과소/정상/과대)를 제공하는 프로그램",11,,,2022.01.03 ~ 2022.01.17,"이진협, 황지현"
6631,22-0060,2022.02.03,"주식회사 세오
SEO. Co., Ltd.","스마트 물 관리 계장 제어 시스템 v1.0
Smart Water M(nagement Instrumentation Control System v1.0)",1등급,GS-C-21-095,임베디드 SW-기타,"본 제품은 센서 데이터(온/습도, 기압, 거리, 강우량)와 CCTV를 모니터링하고 수문(모터)을 제어하는 프로그램",11,,,2022.01.06 ~ 2022.01.20,"이진협, 김동규"
6632,22-0061,2022.02.03,"㈜ 유시스
UXIS. Co., Ltd.","아이-이글아이 v2.0
(i-EagleEye v2.0)",1등급,GS-C-21-119,보안용 SW-웹보안,"스마트폰과 연동하여 생체 인식(지문, 얼굴)과 OTP를 지원하는 2차 인증 프로그램",13,,,"2022-01-05~
2022-01-21","이재훈, 신현우"
6633,22-0062,2022.02.03,"두썸소프트 주식회사
DOSOME Soft Inc.","타미스 v2.0
(TAMIS v2.0)",1등급,GS-B-21-325,시스템관리 SW-기타,수집 대상 서버로부터 로그를 수집 및 분석하여 다양한 형태의 보고서를 제공하는 로그 관리 프로그램,18,,,2021.12.29 ~ 2022.01.21,"박지훈, 은동현"
6634,22-0063,2022.02.03,"㈜엔에스이
NSE Technology Inc.","네트워크 이상징후 탐지시스템 v1.0
(DACS v1.0)",1등급,GS-A-21-164,보안용 SW-기타,탐지 정책에 위반되는 네트워크 패킷을 탐지 및 모니터링하기 위한 솔루션,18,,,2021.12.23 ~ 2022.01.17,"정은하, 김도현"
6635,22-0064,2022.02.03,"㈜피에스글로벌
PSGlobal Inc.","환경시설 재난상황대응 의사결정지원 전문가프로그램 V1.5
(Disaster Response Expert System (DRES) V1.5)",1등급,GS-A-21-414,시스템관리 SW-기타,"현장 재난 대응 매뉴얼에 기반하여 재난 상황 알림, 재난 대응 작업 등록, 재난 대응 작업 관리 기능을 제공하는 프로그램",18,,2명 수수료 산정되었으나 PL 1명이 시험함,2022.01.05 ~ 2022.01.28,박아영
6636,22-0065,2022.02.03,"㈜와이즈네스코
WiseNeosco Co.,LTD","와이즈태그매니저 v1.0
(WiseTagManager v1.0)",1등급,GS-A-21-561,기업용 SW-기타,RFID 태그에 도서정보를 기록 및 조회하기 위한 프로그램,8,,,2022.01.17 ~ 2022.01.26,"임우섭, 최고은"
6637,22-0066,2022.02.03,"엘케이시스(주)
Lksys
주식회사 유니아이
UniAI Corp.","자동 항만 컨테이너 id 인식 시스템 v1.0
(Automatic COntainer id REcognition system v1.0)",1등급,GS-A-21-402,기업용 SW-기타,본 제품은 컨테이너 식별번호가 촬영된 이미지를 입력 받아 식별번호를 문자로 인식하는 프로그램으로 주요 기능은 다음과 같다,11,,,2022.01.04 ~ 2022.01.18,"노남규, 이인영"
6638,22-0067,2022.02.07,"㈜라이브애플리케이션
Live Application Co.,Ltd.","라이브앱 테트라포드 v3.0
(LiveApp Tetrapod v3.0)",1등급,GS-B-21-154,기업용 SW-기타,"기업/조직의 업무 프로세스에 따라 업무 양식을 정의하고, 각 업무에 따라 작성된 증적자료를 관리하는 업무 지원 프로그램",22,,중단 후 재개,"2021-10-13~
2021-11-03

2022-01-18~
2022-01-25","박현권, 권세호"
6639,22-0068,2022.02.07,"주이스㈜
JUIS","에이아이 큐 v1.0
(AI Q v1.0)
(구: 스마트 에이아이 테스트 팜 v1.0
(Smart AI Test Farm v1.0))",1등급,GS-B-21-320,주문형(SI) SW-주문형(SI),원격지에 있는 디바이스 팜에 앱 테스트를 요청하고 테스트 결과를 조회하는 웹 프로그램,19,,,2021.12.28 ~ 2022.01.21,"윤성복, 황다영"
6640,22-0069,2022.02.07,"강릉원주대학교 산학협력단
Gangneung-Wonju National University Industry Academy Cooperation Group ","메드비즈 플랫폼 v1.0
(Medbiz v1.0)",1등급,GS-A-21-166,프로그램개발 관련 SW-기타,헬스 케어 서비스 제공을 위해 필요한 주요 기능을 API로 제공하는 헬스 케어 플랫폼,37,,,20X2021년 12월 2일 ~ 2022년 1월 21일,"구자경,정병모"
6641,22-0070,2022.02.07,"주식회사 휴네시온
Hunesion Co., Ltd.","아이원넷 유씨 V2.0
(i-oneNet UC V2.0)",1등급,GS-A-21-500,보안용 SW-기타,자사 망연계 솔루션의 정책 및 연계 현황을 통합 관리하기 위한 프로그램,18,,,2022.01.04 ~ 2022.01.27,"임우섭, 강태욱"
6642,22-0071,2022.02.07,"시티아이랩 주식회사
CITYEYELAB Inc.","TrafficChecker v0.3
(TrafficChecker v0.3)",1등급,GS-A-21-562,임베디드 SW-교통및주차관리,양방향 도로 영상을 분석하여 교통량 통계를 제공하는 프로그램,10,,,2022.01.10 ~ 2022.01.21,"장세헌, 박솔화"
6643,22-0072,2022.02.14,"주식회사 엠제이비전테크
MJVision Tech Co., Ltd.","미아 실종자 찾기 v1.0
(Missing People Tracking System v1.0)",1등급,GS-C-21-157,기업용 SW-기타,미아·실종자 정보를 분석 서버(별도 제품)로 전송하여 분석된 미아·실종자 동선 정보 등을 수신 받아 표시하는 웹 기반 프로그램,14,,,"2022-01-12~
2022-02-03","이재훈, 서동민"
6644,22-0073,2022.02.14,"㈜생존수영교육연구소
Survival Swimming Educational Research Institute Co., Ltd.","생존수영 “생명지킴이” VR  v2020
(Survival Swimming “Lifesaver” VR v2020)",1등급,GS-C-21-159,교육용 SW-오프라인교수학습,본 제품은 수영교육 전 안전사고 대처 및 생존수영 교육을 제공하는 VR기반 교육 지원 프로그램으로 주요 기능은 다음과 같다.,15,,,"2022-01-13~
2022-02-07",박지민
6645,22-0074,2022.02.14,"주식회사 세강엔지니어링
Segang Engineering. Co., Ltd.","건전성 진단프로그램 v1.0
(Stability judgement program v1.0)",1등급,GS-C-21-182,임베디드 SW-기타,"센서값(온도, 기울기, 불꽃 감지) 및 알람을 모니터링하고 머신러닝 라이브러리를 통해 분석된 임계온도 도달 예상시간을 표시하는 프로그램",16,"GS-C-21-135, 13WD
GS-C-21-182(1차), 3WD
",,"(최초)2021.12.09 ~ 2021.12.27
(1차)2022.01.27 ~ 2022.01.31","김민우, 박정원"
6646,22-0075,2022.02.14,"㈜아이서티
ICERTI Co., Ltd.","아이브이피엠 플러스 v1.0
(I-VPM Plus v1.0)",1등급,GS-B-21-170,보안용 SW-기타,IP 카메라에서 수신된 영상에 실시간으로 무결성 정보를 생성하고 이를 암호화하여 저장하는 DVR(Digital Video Recorder) 프로그램,18,,,"2022-01-10~
2022-02-07","최유정,김보영"
6647,22-0076,2022.02.14,"㈜미소정보기술
MISO Info Tech Inc.","스마트티에이 v2.0
(SmartTA v2.0)",1등급,GS-A-21-399,기업용 SW-기타,스튜디오를 통한 분석 룰 구축 후 서버에서의 텍스트 분류 분석 기능을 제공하는 프로그램,27,"재계약된 경우 기재
(메모 참조)","WD 이슈사항 기재
(메모 참조)",2021.12.23 ~ 2022.1.28,"박상신, 이의성"
6648,22-0077,2022.02.14,"㈜셈웨어
CEMWARE. Co.","디지털 트윈을 위한 IoT 기반 복합 센서 데이터 수집 솔루션 v1.0
(IoT-based Complex Sensor Data Acquisition Solution for Digital Twin v1.0)",1등급,GS-A-21-359,기업용 SW-기타,"IoT 클라우드 서버, 센서 등으로부터 데이터를 수집 및 저장하는 프로그램",10,,,2022.01.17 ~ 2022.01.28,"임우섭, 이강원, 이유겸"
6649,22-0078,2022.02.14,"원투씨엠㈜
12CM, Inc.","에코스 플랫폼 v2.19.2
(Echoss Platform v2.19.2)",1등급,GS-A-21-667,기업용 SW-기타,스마트 스탬프 프로그램과 연동하여 스탬프 적립 및 쿠폰 발급을 관리하는 프로그램,21,,,2022.01.10 ~ 2022.02.10,"고하영, 이유성"
6650,22-0079,2022.02.14,"㈜와이즈네스코
WiseNeosco Co.,LTD","사서용워크스테이션 v1.0
(PADCONNECTER v1.0)",1등급,GS-A-21-552,기업용 SW-기타,본 제품은 RFID 리더기를 통해 도서에 부착된 RFID 태그 보안 값을 설정/해제 및 조회하는 프로그램으로 주요 기능은 다음과 같다,8,,,2022.01.19 ~ 2022.01.28,"노남규, 이인영"
6651,22-0080,2022.02.21,"㈜에스유지
SUG. Co., Ltd.","옥외광고물 전수조사 시스템 v1.0
(Outdoor Advertising Total Investigation System v1.0)",1등급,GS-C-21-180,기업용 SW-기타,"옥외광고물의 가로, 세로 길이를 측정하고 측정 정보를 관리하는 스마트폰용 어플리케이션",12,"GS-C-21-092, 10WD
   GS-C-21-180(1차), 2WD",,"2021-12-15~
2021-12-28,
2022-02-07~
2022-02-08","전지은,박진욱"
6652,22-0081,2022.02.21,"주식회사 선도소프트
SUNDOSOFT Co., Ltd.","데이터 모니터링 시스템 1.0ver
(Data Monitoring System 1.0ver)",1등급,GS-B-21-114,GIS SW-기타,저장된 선박 운행 데이터를 이용하여 선박평형수에 따른 운행 가능 여부를 분석하는 프로그램,18,,,2022.01.07 ~ 2022.02.04,"박지훈, 정영재"
